,f1-score,precision,recall,support
te05-0997,0.888888888888889,0.8,1.0,24.0
te05-0998,1.0,1.0,1.0,24.0
te05-1001,0.9795918367346939,0.96,1.0,24.0
te05-1016,0.7692307692307692,0.8333333333333334,0.7142857142857143,21.0
te05-1019,0.846153846153846,1.0,0.7333333333333333,15.0
te05-1036,0.8461538461538461,0.7857142857142857,0.9166666666666666,24.0
te05-1038,0.9019607843137255,0.8214285714285714,1.0,23.0
te05-1044,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
te05-1049,0.875,0.875,0.875,24.0
te05-1062,0.8695652173913043,0.9090909090909091,0.8333333333333334,24.0
te05-1069,0.7692307692307693,0.9375,0.6521739130434783,23.0
te05-1073,0.8571428571428572,0.9,0.8181818181818182,22.0
te05-1075,0.6818181818181819,0.6,0.7894736842105263,19.0
te05-1079,0.9090909090909091,0.9090909090909091,0.9090909090909091,22.0
te05-1087,0.7567567567567567,0.8235294117647058,0.7,20.0
te05-1124,0.9714285714285714,0.9444444444444444,1.0,17.0
te05-1141,0.9714285714285714,0.9444444444444444,1.0,17.0
te05-1143,0.9795918367346939,0.96,1.0,24.0
te05-1155,0.8627450980392156,0.8148148148148148,0.9166666666666666,24.0
te05-1164,0.7999999999999999,0.7096774193548387,0.9166666666666666,24.0
te05-1204,0.8717948717948718,0.9444444444444444,0.8095238095238095,21.0
te05-1246,0.9361702127659574,0.9166666666666666,0.9565217391304348,23.0
te05-1249,0.9302325581395349,0.9090909090909091,0.9523809523809523,21.0
te05-1251,0.8400000000000001,0.8076923076923077,0.875,24.0
te05-1254,0.7741935483870968,0.8571428571428571,0.7058823529411765,17.0
te05-1267,0.8727272727272727,0.7741935483870968,1.0,24.0
te05-1281,0.5882352941176471,1.0,0.4166666666666667,12.0
te05-1296,0.9714285714285714,1.0,0.9444444444444444,18.0
te05-1331,1.0,1.0,1.0,22.0
te05-1334,0.68,0.5862068965517241,0.8095238095238095,21.0
te05-1335,0.8260869565217391,0.8636363636363636,0.7916666666666666,24.0
te05-1352,0.85,1.0,0.7391304347826086,23.0
te05-1378,0.9,0.9473684210526315,0.8571428571428571,21.0
te05-1380,0.923076923076923,0.8571428571428571,1.0,24.0
te05-1390,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
te05-1416,0.9090909090909091,1.0,0.8333333333333334,18.0
te05-1420,0.888888888888889,0.8571428571428571,0.9230769230769231,13.0
te05-1421,0.923076923076923,0.8571428571428571,1.0,24.0
te05-1427,0.8695652173913043,0.9090909090909091,0.8333333333333334,24.0
te05-1436,0.8372093023255814,0.782608695652174,0.9,20.0
te05-1439,0.8979591836734694,0.88,0.9166666666666666,24.0
te05-1470,0.8823529411764706,0.9375,0.8333333333333334,18.0
te05-1484,0.9655172413793104,1.0,0.9333333333333333,15.0
te05-1495,0.9019607843137256,0.8518518518518519,0.9583333333333334,24.0
te05-1500,0.9268292682926829,0.8636363636363636,1.0,19.0
te05-1517,0.923076923076923,0.8571428571428571,1.0,24.0
te05-1525,0.967741935483871,0.9375,1.0,15.0
te05-1529,0.8363636363636364,0.7419354838709677,0.9583333333333334,24.0
te05-1530,0.9166666666666666,0.8461538461538461,1.0,22.0
te05-1544,0.6451612903225806,0.9090909090909091,0.5,20.0
te05-1548,0.8181818181818181,1.0,0.6923076923076923,13.0
te05-1552,0.9795918367346939,0.96,1.0,24.0
te05-1557,0.8750000000000001,0.7777777777777778,1.0,14.0
te05-1559,0.7843137254901961,0.6451612903225806,1.0,20.0
te05-1578,0.8648648648648648,0.9411764705882353,0.8,20.0
te05-1581,0.8484848484848484,1.0,0.7368421052631579,19.0
te05-1587,0.8275862068965517,0.7058823529411765,1.0,24.0
te05-1588,0.8421052631578948,0.7272727272727273,1.0,24.0
te05-1592,0.9361702127659574,0.9565217391304348,0.9166666666666666,24.0
te05-1605,1.0,1.0,1.0,13.0
te05-1621,1.0,1.0,1.0,23.0
te05-1623,0.7999999999999999,0.8888888888888888,0.7272727272727273,22.0
te05-1626,0.9056603773584906,0.8275862068965517,1.0,24.0
te05-1627,0.975609756097561,0.9523809523809523,1.0,20.0
te05-1628,0.8571428571428572,0.84,0.875,24.0
te05-1633,1.0,1.0,1.0,13.0
te05-1634,0.9056603773584906,0.8275862068965517,1.0,24.0
te05-1640,0.9500000000000001,0.95,0.95,20.0
te05-1647,0.8275862068965517,0.9230769230769231,0.75,16.0
te05-1658,0.9795918367346939,0.96,1.0,24.0
te05-1660,0.8666666666666666,1.0,0.7647058823529411,17.0
te05-1665,0.8571428571428571,0.75,1.0,24.0
te05-1667,0.9795918367346939,0.96,1.0,24.0
te05-1680,0.9743589743589743,1.0,0.95,20.0
te05-1685,0.823529411764706,0.875,0.7777777777777778,18.0
te05-1697,0.9166666666666666,0.9166666666666666,0.9166666666666666,24.0
te05-1703,0.923076923076923,0.8571428571428571,1.0,24.0
te05-1724,0.9411764705882353,0.8888888888888888,1.0,24.0
te05-1827,0.8695652173913044,1.0,0.7692307692307693,13.0
te05-1828,0.8260869565217391,0.8636363636363636,0.7916666666666666,24.0
te05-1830,0.8461538461538461,0.7857142857142857,0.9166666666666666,24.0
te06-0001,0.8333333333333333,0.8,0.8695652173913043,23.0
te06-0002,0.5581395348837209,0.6,0.5217391304347826,23.0
te06-0016,0.8846153846153847,0.8214285714285714,0.9583333333333334,24.0
te06-0021,0.7804878048780488,0.8888888888888888,0.6956521739130435,23.0
te06-0031,0.9411764705882353,0.8888888888888888,1.0,24.0
te06-0032,0.9361702127659575,0.88,1.0,22.0
te06-0033,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0
te06-0034,0.8666666666666666,0.9285714285714286,0.8125,16.0
te06-0038,0.75,0.8823529411764706,0.6521739130434783,23.0
te06-0040,0.816326530612245,0.8,0.8333333333333334,24.0
te06-0045,0.7924528301886793,0.7241379310344828,0.875,24.0
te06-0047,0.923076923076923,0.8571428571428571,1.0,24.0
te06-0067,0.6086956521739131,0.5833333333333334,0.6363636363636364,22.0
te06-0071,0.782608695652174,1.0,0.6428571428571429,14.0
te06-0072,0.6530612244897959,0.64,0.6666666666666666,24.0
te06-0088,0.6382978723404256,0.6,0.6818181818181818,22.0
te06-0105,0.8275862068965517,1.0,0.7058823529411765,17.0
te06-0110,0.9565217391304348,1.0,0.9166666666666666,24.0
te06-0123,0.7169811320754716,0.6551724137931034,0.7916666666666666,24.0
te06-0131,0.9302325581395349,0.9523809523809523,0.9090909090909091,22.0
te06-0143,0.631578947368421,1.0,0.46153846153846156,13.0
te06-0149,0.8571428571428571,0.9230769230769231,0.8,15.0
te06-0179,0.8070175438596493,0.696969696969697,0.9583333333333334,24.0
te06-0208,0.8571428571428571,0.9473684210526315,0.782608695652174,23.0
te06-0209,0.9130434782608695,0.9130434782608695,0.9130434782608695,23.0
te06-0235,0.9696969696969697,0.9411764705882353,1.0,16.0
te06-0237,0.6666666666666667,0.5789473684210527,0.7857142857142857,14.0
te06-0248,0.8666666666666666,1.0,0.7647058823529411,17.0
te06-0252,0.8750000000000001,0.7777777777777778,1.0,14.0
te06-0260,0.888888888888889,0.9090909090909091,0.8695652173913043,23.0
te06-0266,0.8181818181818182,0.8571428571428571,0.782608695652174,23.0
te06-0273,0.9019607843137256,0.8518518518518519,0.9583333333333334,24.0
te06-0287,0.9583333333333334,0.92,1.0,23.0
te06-0293,0.6829268292682926,0.7368421052631579,0.6363636363636364,22.0
te06-0305,0.923076923076923,0.8571428571428571,1.0,24.0
te06-0321,0.7894736842105263,0.7894736842105263,0.7894736842105263,19.0
